player,nationality,position,age,90m,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Dickson Abiama,ng NGA,FW,22,8.1,0,0,0,3,0,0.0,0.12,0.12,0.0,0.12,2.2,2.2,1.1,3.3,0.27,0.14,0.41,0.27,0.41,18,4,22.2,2.23,0.5,0.0,0.0,15.6,0,0.12,-2.2,-2.2,90,139,64.7,1296,330,54,78,69.2,25,38,65.8,5,10,50.0,-0.1,8,7,6,0,13,130,9,1,1,42,2,2,0,0,0,0,87,32,20,27,76,19,0,3,2,5,5,9,20,2.48,12,0,0,1,2,5,2,0.25,1,0,0,1,0,0,14,7,3,7,4,2,11,18.2,9,190,39,20.5,21,81,88,10,3,0,7,8,22,7,0,267,9,28,126,126,31,258,6,18,33.3,7,1,154,605,326,21,8,7,41,11,335,171,51.0,48,,,,0,0,,3,,,,,,,,,,,,0,18,12,15,0,0,0,39,22,40,35.5
Ragnar Ache,de GER,"MF,FW",23,2.9,0,0,0,0,0,0.0,0.35,0.35,0.0,0.35,0.5,0.5,0.3,0.8,0.19,0.1,0.29,0.19,0.29,11,2,18.2,3.82,0.69,0.0,0.0,15.8,0,0.05,-0.5,-0.5,42,71,59.2,607,127,22,35,62.9,17,27,63.0,1,3,33.3,0.7,2,3,2,2,3,69,2,0,0,26,1,6,0,0,0,0,35,18,18,12,35,5,2,1,1,2,4,5,5,1.74,3,0,1,1,0,0,1,0.35,0,0,0,1,0,0,2,2,0,1,1,2,3,66.7,1,69,20,29.0,5,29,35,3,0,0,3,0,2,1,0,130,1,8,59,72,18,129,4,8,50.0,5,0,78,437,279,16,6,5,16,8,166,101,60.8,31,30,23.7,79,2,19,17,8,0.46,8,29,-21,-2.6,-1.33,7.1,16.6,-9.5,-1.17,-0.4,0,6,8,6,0,0,0,15,20,11,64.5
Tyler Adams,us USA,MF,22,15.0,0,0,0,5,0,0.0,0.07,0.07,0.0,0.07,0.2,0.2,0.8,1.0,0.01,0.05,0.07,0.01,0.07,2,0,0.0,0.13,0.0,0.0,,19.4,0,0.08,-0.2,-0.2,792,914,86.7,13102,3265,397,435,91.3,299,333,89.8,73,101,72.3,0.2,8,74,10,0,62,874,40,25,1,151,6,3,0,0,0,0,717,86,111,130,702,43,14,4,4,9,24,22,25,1.67,23,0,1,1,0,0,4,0.27,4,0,0,0,0,0,26,16,6,17,3,8,28,28.6,20,325,104,32.0,89,198,38,32,1,0,31,23,49,20,1,1064,29,228,719,190,12,1027,10,17,58.8,10,0,720,3444,1750,76,19,3,10,17,802,741,92.4,18,20,8.5,72,0,12,16,6,1.23,4,4,0,0.0,0.13,4.3,5.5,-1.2,-0.41,-0.21,0,20,18,0,0,0,0,159,23,12,65.7
Sargis Adamyan,am ARM,"FW,MF",28,3.7,1,0,0,0,0,0.27,0.0,0.27,0.27,0.27,0.5,0.5,0.7,1.2,0.14,0.19,0.32,0.14,0.32,3,2,66.7,0.82,0.54,0.33,0.5,16.7,0,0.17,0.5,0.5,73,98,74.5,1154,299,38,45,84.4,29,38,76.3,5,8,62.5,-0.7,4,5,4,2,9,93,5,0,0,27,0,6,0,0,0,0,66,13,19,19,59,7,5,3,0,3,5,7,11,2.99,8,0,2,0,0,1,1,0.27,1,0,0,0,0,0,13,8,8,4,1,5,13,38.5,8,81,27,33.3,17,41,23,5,0,0,5,3,16,2,0,153,4,27,67,66,12,148,6,9,66.7,6,1,104,504,207,12,1,0,12,13,152,96,63.2,24,56,44.2,84,8,12,29,6,1.88,27,14,13,0.87,-0.29,28.2,19.3,8.9,0.59,-0.08,0,6,9,4,0,0,0,26,5,13,27.8
Amine Adli,fr FRA,"FW,MF",21,14.0,3,0,0,3,0,0.21,0.14,0.36,0.21,0.36,4.5,4.5,1.8,6.3,0.32,0.13,0.45,0.32,0.45,38,19,50.0,2.72,1.36,0.08,0.16,15.3,0,0.12,-1.5,-1.5,392,520,75.4,5845,1714,217,258,84.1,148,197,75.1,14,31,45.2,0.2,13,30,16,8,40,501,19,2,1,115,5,26,2,0,0,0,418,74,28,419,60,12,10,6,5,7,39,20,47,3.37,31,1,3,4,4,4,7,0.5,5,0,0,1,1,0,38,25,14,18,6,17,29,58.6,12,300,93,31.0,63,123,114,35,4,0,31,17,55,8,0,764,10,125,401,291,67,746,24,45,53.3,27,1,562,3147,1916,83,24,19,43,33,733,546,74.5,92,25,10.8,76,0,11,16,3,1.85,7,6,1,0.27,0.37,7.3,5.1,2.2,0.61,0.6,0,27,32,8,0,0,0,92,19,35,35.2
Naouirou Ahamada,fr FRA,MF,19,0.7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,0,,0.0,0.0,30,34,88.2,567,86,13,15,86.7,9,10,90.0,6,7,85.7,0.0,0,0,0,0,1,33,1,1,0,7,2,0,0,0,0,0,29,2,3,5,28,1,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,17,6,35.3,4,10,3,2,0,0,2,0,0,2,0,39,0,6,28,7,0,39,0,0,,0,0,34,163,73,3,0,0,0,1,35,32,91.4,1,50,41.0,75,3,12,23,0,1.76,24,22,2,0.14,-1.4,23.6,19.0,4.6,0.33,-0.45,0,2,1,0,0,0,0,3,1,3,25.0
Manuel Akanji,ch SUI,DF,26,25.1,1,0,0,3,0,0.04,0.0,0.04,0.04,0.04,1.8,1.8,0.1,2.0,0.07,0.0,0.08,0.07,0.08,14,3,21.4,0.56,0.12,0.07,0.33,10.4,1,0.13,-0.8,-0.8,1801,1986,90.7,40191,13222,489,529,92.4,951,992,95.9,356,447,79.6,-0.1,2,130,3,0,121,1922,64,58,0,199,69,2,0,0,0,0,1633,121,232,393,1489,64,6,1,3,22,26,15,11,0.44,8,1,1,1,0,0,0,0.0,0,0,0,0,0,0,50,36,29,16,5,22,36,61.1,14,246,113,45.9,140,92,14,38,18,0,20,47,97,73,0,2198,256,1087,1195,71,22,2143,7,7,100.0,7,0,1526,8913,4621,128,12,0,5,4,1686,1665,98.8,6,20,2.0,,0,3,20,9,0.0,1,1,0,0.0,0.54,1.1,0.7,0.4,0.55,0.75,0,23,26,1,0,0,1,240,64,39,62.1
Kevin Akpoguma,ng NGA,DF,26,17.0,2,0,0,5,0,0.12,0.12,0.24,0.12,0.24,1.2,1.2,2.1,3.3,0.07,0.12,0.19,0.07,0.19,12,4,33.3,0.71,0.24,0.17,0.5,12.7,0,0.1,0.8,0.8,721,930,77.5,13623,5475,297,348,85.3,331,395,83.8,85,152,55.9,-0.1,12,55,13,2,79,752,178,17,2,124,19,29,0,0,0,0,562,204,164,88,639,27,161,1,3,23,36,36,27,1.59,18,1,3,3,1,1,4,0.24,2,0,0,1,0,1,37,20,17,12,8,18,32,56.3,14,254,75,29.5,100,102,52,56,2,0,54,35,72,32,2,1143,63,381,543,286,35,970,18,35,51.4,19,2,643,3071,1732,68,20,13,18,14,706,635,89.9,20,87,73.9,89,23,1,45,0,2.0,64,44,20,0.8,-0.67,47.0,35.2,11.8,0.47,-0.4,0,30,24,4,0,1,0,144,23,22,51.1
Lucas Alario,ar ARG,FW,28,7.3,6,0,1,2,0,0.82,0.0,0.82,0.82,0.82,6.5,5.8,1.1,6.9,0.9,0.16,1.05,0.79,0.95,23,13,56.5,3.16,1.79,0.26,0.46,11.2,0,0.25,-0.5,0.2,106,155,68.4,1417,230,66,92,71.7,33,43,76.7,2,7,28.6,-1.1,7,1,2,0,7,147,8,0,1,47,1,3,0,0,0,0,96,33,26,12,108,14,2,2,0,3,8,4,25,3.44,16,0,5,1,3,0,4,0.55,3,0,1,0,0,0,5,4,0,4,1,2,3,66.7,1,102,30,29.4,6,40,56,7,0,0,7,3,8,6,0,252,7,23,109,135,54,244,11,13,84.6,11,2,164,658,283,15,7,4,24,16,303,196,64.7,55,59,49.9,71,5,7,24,4,1.5,34,30,4,0.24,0.59,26.8,24.9,1.9,0.11,0.07,0,8,11,7,1,0,0,25,20,35,36.4
Nadiem Amiri,de GER,"MF,FW",24,4.1,1,0,0,0,0,0.24,0.0,0.24,0.24,0.24,0.5,0.5,0.2,0.6,0.11,0.05,0.16,0.11,0.16,8,2,25.0,1.95,0.49,0.13,0.5,20.1,1,0.06,0.5,0.5,184,223,82.5,3349,583,81,93,87.1,77,87,88.5,21,32,65.6,-0.2,3,9,9,0,18,214,9,1,0,45,14,3,5,1,4,0,178,19,26,19,200,2,2,0,1,3,5,2,7,1.71,5,1,0,0,1,0,1,0.24,0,0,0,0,1,0,8,4,4,2,2,4,7,57.1,3,57,23,40.4,14,30,13,5,1,0,4,5,13,2,0,280,1,57,157,89,9,270,7,14,50.0,7,1,207,1332,671,31,13,1,6,8,245,211,86.1,24,24,21.4,79,3,22,12,2,1.74,17,9,8,1.1,0.16,17.0,8.1,8.9,1.22,0.8,0,1,13,0,0,0,0,37,1,4,20.0
